uid,tag,key,time,did,value,metric,last_modify
6736505735,weekly_statistics,update_hlthcenter_records,1759680000,default_did,,0,1760799818
6736505735,weekly_statistics,start_calculate,1759680000,default_did,,0,1760799818
6736505735,weekly_statistics,fitness_report,1759680000,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":60152},""step_goal_achieve"":5,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":2710},""cal_goal_achieve"":5,""rank_percent_summary"":{""1"":0.86,""2"":0.65},""all_fitness_goal_achieved_count"":3,""allFitnessGoalAchivevedDay"":{""1759795200"":true,""1760054400"":true,""1760140800"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1759680000"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":8593},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":387},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":14},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":26}}},""sleep_report"":{""avg_sleep_score"":64,""max_sleep_score"":76,""avg_sleep_duration"":452,""avg_deep_sleep_duration"":76,""avg_deep_sleep_rate"":17,""sleep_stage"":3,""sleep_evaluation"":1,""week_lastest_bed_time"":1759714500,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1759816980,""week_earliest_wake_up_zone"":1},""hlth_status"":{""avg_rhr"":63,""max_hr"":145,""avg_stress"":26,""max_stress"":59},""version"":1}",0,1760799818
6736505735,weekly_statistics,update_hlthcenter_records,1759075200,default_did,,0,1759761806
6736505735,weekly_statistics,start_calculate,1759075200,default_did,,0,1759761806
6736505735,weekly_statistics,fitness_report,1759075200,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":61113},""step_goal_achieve"":6,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":2702},""cal_goal_achieve"":4,""rank_percent_summary"":{""1"":0.82,""2"":0.55},""all_fitness_goal_achieved_count"":0,""allFitnessGoalAchivevedDay"":null,""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1759075200"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":8730},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":386},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":7},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":14}}},""sleep_report"":{""avg_sleep_score"":50,""max_sleep_score"":67,""avg_sleep_duration"":284,""avg_deep_sleep_duration"":45,""avg_deep_sleep_rate"":17,""sleep_stage"":1,""sleep_evaluation"":6,""week_lastest_bed_time"":1759295400,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1759128300,""week_earliest_wake_up_zone"":1},""hlth_status"":{""max_hr"":141,""avg_stress"":36,""max_stress"":57},""version"":1}",0,1759761806
6736505735,weekly_statistics,update_hlthcenter_records,1758470400,default_did,,0,1759182265
6736505735,weekly_statistics,start_calculate,1758470400,default_did,,0,1759182265
6736505735,weekly_statistics,fitness_report,1758470400,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":62840},""step_goal_achieve"":6,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":2778},""cal_goal_achieve"":6,""rank_percent_summary"":{""1"":0.8,""2"":0.55},""all_fitness_goal_achieved_count"":1,""allFitnessGoalAchivevedDay"":{""1758844800"":true},""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1758470400"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":8977},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":396},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":9},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":15}}},""sleep_report"":{""avg_sleep_score"":45,""max_sleep_score"":60,""avg_sleep_duration"":339,""avg_deep_sleep_duration"":54,""avg_deep_sleep_rate"":15,""sleep_stage"":1,""sleep_evaluation"":6,""week_lastest_bed_time"":1758608400,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1758696360,""week_earliest_wake_up_zone"":1},""hlth_status"":{""max_hr"":146},""version"":1}",0,1759182265
6736505735,weekly_statistics,update_hlthcenter_records,1757865600,default_did,,0,1759662741
6736505735,weekly_statistics,start_calculate,1757865600,default_did,,0,1759075568
6736505735,weekly_statistics,fitness_report,1757865600,default_did,"{""sport_times"":0,""sport_times_diff"":0,""sport_days"":0,""sport_days_diff"":0,""steps_summary"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":24688},""step_goal_achieve"":2,""calorie_summary"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":1075},""rank_percent_summary"":{""1"":0.3,""2"":0.27},""all_fitness_goal_achieved_count"":0,""allFitnessGoalAchivevedDay"":null,""all_fitness_goal_achieved_count_diff"":0,""avg_achieved_fitness_goal_summary"":{""1757865600"":{""1"":{""field_type"":""int_value"",""field_unit"":""step"",""int_value"":4937},""2"":{""field_type"":""int_value"",""field_unit"":""kcal"",""int_value"":215},""3"":{""field_type"":""int_value"",""field_unit"":""1"",""int_value"":5},""4"":{""field_type"":""int_value"",""field_unit"":""min"",""int_value"":3}}},""sleep_report"":{""avg_sleep_score"":53,""max_sleep_score"":63,""avg_sleep_duration"":575,""avg_deep_sleep_duration"":81,""avg_deep_sleep_rate"":11,""sleep_stage"":3,""sleep_evaluation"":1,""week_lastest_bed_time"":1758168300,""week_lastest_bed_time_zone"":1,""week_earliest_wake_up_time"":1758188100,""week_earliest_wake_up_zone"":1},""hlth_status"":{""max_hr"":140,""avg_stress"":63,""max_stress"":63},""version"":1}",0,1759075568
6736505735,weekly_statistics,start_calculate,1757260800,default_did,,0,1758102303
